COG0222,COG0222
COG0223,COG0223
COG0224,COG0224
COG0225,COG0225
COG0226,COG0226
COG0227,COG0227
COG0228,COG0228
COG0229,COG0229
COG0230,COG0230
COG0231,COG0231
COG0232,COG0232
COG0233,COG0233
COG0234,COG0234
COG0235,COG0235
COG0236,COG0236
COG0237,COG0237
COG0238,COG0238
COG0239,COG0239
COG0240,COG0240
COG0241,COG0241
COG0242,COG0242
COG0243,COG0243
COG0244,COG0244
COG0245,COG0245
COG0246,COG0246
COG0247,COG0247
COG0248,COG0248
COG0249,COG0249
COG0250,COG0250
COG0251,COG0251
COG0252,COG0252
COG0253,COG0253
COG0254,COG0254
COG0255,COG0255
COG0256,COG0256
COG0257,COG0257
COG0258,COG0258
COG0259,COG0259
COG0260,COG0260
COG0261,COG0261
COG0262,COG0262
COG0263,COG0263
COG0264,COG0264
COG0265,COG0265
COG0266,COG0266
COG0267,COG0267
COG0268,COG0268
COG0269,COG0269
COG0270,COG0270
COG0271,COG0271
COG0272,COG0272
COG0274,COG0274
COG0275,COG0275
COG0276,COG0276
COG0277,COG0277
COG0278,COG0278
COG0279,COG0279
COG0280,COG0280
COG0281,COG0281
COG0282,COG0282
COG0283,COG0283
COG0284,COG0284
COG0285,COG0285
COG0286,COG0286
COG0287,COG0287
COG0288,COG0288
COG0289,COG0289
COG0290,COG0290
COG0291,COG0291
COG0292,COG0292
COG0293,COG0293
COG0294,COG0294
COG0295,COG0295
COG0296,COG0296
COG0297,COG0297
COG0298,COG0298
COG0299,COG0299
COG0300,COG0300
COG0301,COG0301
COG0302,COG0302
COG0303,COG0303
COG0304,COG0304
COG0305,COG0305
COG0306,COG0306
COG0307,COG0307
COG0308,COG0308
COG0309,COG0309
COG0310,COG0310
COG0311,COG0311
COG0312,COG0312
COG0313,COG0313
COG0314,COG0314
COG0315,COG0315
COG0316,COG0316
COG0317,COG0317
COG0318,COG0318
COG0319,COG0319
COG0320,COG0320
COG0321,COG0321
COG0322,COG0322
COG0323,COG0323
COG0324,COG0324
COG0325,COG0325
COG0326,COG0326
COG0327,COG0327
COG0328,COG0328
COG0329,COG0329
COG0330,COG0330
COG0331,COG0331
COG0332,COG0332
COG0333,COG0333
COG0334,COG0334
COG0335,COG0335
COG0336,COG0336
COG0337,COG0337
COG0338,COG0338
COG0339,COG0339
COG0340,COG0340
COG0341,COG0341
COG0342,COG0342
COG0343,COG0343
COG0344,COG0344
COG0345,COG0345
COG0346,COG0346
COG0347,COG0347
COG0348,COG0348
COG0349,COG0349
COG0350,COG0350
COG0351,COG0351
COG0352,COG0352
COG0353,COG0353
COG0354,COG0354
COG0355,COG0355
COG0356,COG0356
COG0357,COG0357
COG0358,COG0358
COG0359,COG0359
COG0360,COG0360
COG0361,COG0361
COG0362,COG0362
COG0363,COG0363
COG0364,COG0364
COG0365,COG0365
COG0366,COG0366
COG0367,COG0367
COG0368,COG0368
COG0369,COG0369
COG0370,COG0370
COG0371,COG0371
COG0372,COG0372
COG0373,COG0373
COG0374,COG0374
COG0375,COG0375
COG0376,COG0376
COG0377,COG0377
COG0378,COG0378
COG0379,COG0379
COG0380,COG0380
COG0381,COG0381
COG0382,COG0382
COG0383,COG0383
COG0384,COG0384
COG0385,COG0385
COG0386,COG0386
COG0387,COG0387
COG0388,COG0388
COG0389,COG0389
COG0390,COG0390
COG0391,COG0391
COG0392,COG0392
COG0393,COG0393
COG0394,COG0394
COG0395,COG0395
COG0396,COG0396
COG0397,COG0397
COG0398,COG0398
COG0399,COG0399
COG0400,COG0400
COG0401,COG0401
COG0402,COG0402
COG0403,COG0403
COG0404,COG0404
COG0405,COG0405
COG0406,COG0406
COG0407,COG0407
COG0408,COG0408
